quantity,from_unit,from_symbol,to_unit,factor,note,reliability,source
길이,인치,in,m,0.0254,1in=2.54cm,high,국제단위 정의
길이,피트,ft,m,0.3048,1ft=12in,high,국제단위 정의
길이,야드,yd,m,0.9144,1yd=3ft,high,국제단위 정의
길이,마일,mi,m,1609.344,법정마일,high,국제단위 정의
길이,해리,nmi,m,1852,항해/항공,high,국제단위 정의
길이,자(척),尺,m,0.303,한국 전통,med,한국 도량형
길이,치(촌),寸,m,0.0303,자의 1/10,med,한국 도량형
길이,리,里,m,392.73,한국 전통,med,한국 도량형
길이,옹스트롬,Å,m,1e-10,원자 규모,high,과학 단위
길이,천문단위,AU,m,149597870700,지구-태양 평균거리,high,IAU 정의
길이,광년,ly,m,9.4607e15,빛이 1년간 이동,high,IAU 정의
길이,파섹,pc,m,3.0857e16,천문 거리,high,IAU 정의
질량,파운드,lb,kg,0.45359237,상용 파운드,high,국제단위 정의
질량,온스,oz,kg,0.028349523,1/16 lb,high,국제단위 정의
질량,근(육류),斤,kg,0.6,한국 정육,med,한국 도량형
질량,근(일반),斤,kg,0.375,채소/곡물,med,한국 도량형
질량,돈,錢,kg,0.00375,금/은 거래,high,한국 도량형
질량,관,貫,kg,3.75,한국 전통,med,한국 도량형
질량,캐럿,ct,kg,0.0002,보석,high,국제단위 정의
질량,스톤,st,kg,6.35029,영국 체중,high,국제단위 정의
질량,그레인,gr,kg,0.00006479891,화약/탄,high,국제단위 정의
질량,톤,t,kg,1000,미터톤,high,국제단위 정의
부피,갤런(미국),gal,L,3.785411784,US gallon,high,국제단위 정의
부피,갤런(영국),gal,L,4.54609,Imperial gallon,high,국제단위 정의
부피,되,升,L,1.8039,한국 전통,med,한국 도량형
부피,말,斗,L,18.039,되의 10배,med,한국 도량형
부피,홉,合,L,0.18039,되의 1/10,med,한국 도량형
부피,파인트(미국),pt,L,0.473176,US pint,high,국제단위 정의
부피,컵,cup,L,0.24,국제 표준컵,high,국제단위 정의
부피,플루이드온스(미국),fl_oz,L,0.0295735,US fl oz,high,국제단위 정의
부피,석유배럴,bbl,L,158.987,원유,high,국제단위 정의
넓이,평,坪,m2,3.305785,한국 전통,high,한국 도량형
넓이,에이커,ac,m2,4046.856,영미 토지,high,국제단위 정의
넓이,헥타르,ha,m2,10000,SI 호환,high,국제단위 정의
넓이,마지기(논),斗落,m2,661.16,200평 기준,low,지역별 상이
넓이,제곱피트,sqft,m2,0.092903,1ft²,high,국제단위 정의
압력,기압,atm,Pa,101325,표준대기압,high,SI 정의
압력,바,bar,Pa,100000,기상,high,국제단위 정의
압력,피에스아이,psi,Pa,6894.757,타이어/공압,high,국제단위 정의
압력,수은주밀리미터,mmHg,Pa,133.3224,혈압,high,국제단위 정의
압력,토르,Torr,Pa,133.3224,진공,high,국제단위 정의
압력,제곱센티당킬로그램힘,kgf/cm2,Pa,98066.5,공업,high,국제단위 정의
에너지,칼로리,cal,J,4.184,열량,high,국제단위 정의
에너지,킬로칼로리,kcal,J,4184,식품 열량,high,국제단위 정의
에너지,킬로와트시,kWh,J,3600000,전기,high,국제단위 정의
에너지,비티유,BTU,J,1055.06,냉난방,high,국제단위 정의
에너지,전자볼트,eV,J,1.602176634e-19,원자물리,high,CODATA/SI
출력,마력(기계),hp,W,745.699,영미 마력,high,국제단위 정의
출력,마력(미터),PS,W,735.499,자동차 마력,high,국제단위 정의
출력,시간당킬로칼로리,kcal/h,W,1.163,냉난방 능력,high,국제단위 정의
속력,노트,kn,m/s,0.514444,항해/항공,high,국제단위 정의
속력,시속마일,mph,m/s,0.44704,영미 속도,high,국제단위 정의
속력,시속킬로미터,km/h,m/s,0.277778,일반,high,국제단위 정의
속력,마하,Mach,m/s,340.3,해면 15도 음속,med,표준대기
각도,도,°,rad,0.0174533,각도,high,국제단위 정의
각도,각분,′,rad,0.000290888,1/60도,high,국제단위 정의
각도,각초,″,rad,4.84814e-6,1/3600도,high,국제단위 정의
각도,그라디안,grad,rad,0.015708,측량,high,국제단위 정의
데이터,비트,bit,byte,0.125,8bit=1byte,high,IEC 단위
데이터,키비바이트,KiB,byte,1024,2^10,high,IEC 단위
데이터,메비바이트,MiB,byte,1048576,2^20,high,IEC 단위
데이터,기비바이트,GiB,byte,1073741824,2^30,high,IEC 단위
데이터,킬로바이트,KB,byte,1000,10^3,high,SI 단위
데이터,메가바이트,MB,byte,1000000,10^6,high,SI 단위
데이터,기가바이트,GB,byte,1000000000,10^9,high,SI 단위
시간,분,min,s,60,,high,국제단위 정의
시간,시간,h,s,3600,,high,국제단위 정의
시간,일,d,s,86400,,high,국제단위 정의
시간,주,wk,s,604800,,high,국제단위 정의
시간,년(율리우스),yr,s,31557600,365.25일,high,IAU 정의
온도,섭씨→화씨,°C→°F,formula,,°F=°C×9/5+32,high,단위 정의
온도,화씨→섭씨,°F→°C,formula,,°C=(°F-32)×5/9,high,단위 정의
온도,섭씨→켈빈,°C→K,formula,,K=°C+273.15,high,SI 정의
